id,segment_risks,label,category,source
minsang_1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_2,"[1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_3,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_4,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_5,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_6,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_7,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_8,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_12,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_14,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_15,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_16,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_17,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_18,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_19,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_20,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_21,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_22,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_23,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_24,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_25,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_26,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_27,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_28,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_29,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_31,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_32,"[1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_33,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_34,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
minsang_35,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
